theta,gamma_1,time_1,gamma_2,time_2,gamma_3,time_3,entanglement_class
1.5707963267948966,0.0,20.0,0.9,20.0,0.0,20.0,AB-C
1.5707963267948966,0.0,20.1,0.9,20.1,0.0,20.1,AB-C
1.5707963267948966,0.0,20.200000000000003,0.9,20.200000000000003,0.0,20.200000000000003,AB-C
1.5707963267948966,0.0,20.300000000000004,0.9,20.300000000000004,0.0,20.300000000000004,AB-C
1.5707963267948966,0.0,20.400000000000006,0.9,20.400000000000006,0.0,20.400000000000006,AB-C
1.5707963267948966,0.0,20.500000000000007,0.9,20.500000000000007,0.0,20.500000000000007,AB-C
1.5707963267948966,0.0,20.60000000000001,0.9,20.60000000000001,0.0,20.60000000000001,AB-C
1.5707963267948966,0.0,20.70000000000001,0.9,20.70000000000001,0.0,20.70000000000001,AB-C
1.5707963267948966,0.0,20.80000000000001,0.9,20.80000000000001,0.0,20.80000000000001,AB-C
1.5707963267948966,0.0,20.900000000000013,0.9,20.900000000000013,0.0,20.900000000000013,AB-C
1.5707963267948966,0.0,21.000000000000014,0.9,21.000000000000014,0.0,21.000000000000014,AB-C
1.5707963267948966,0.0,21.100000000000016,0.9,21.100000000000016,0.0,21.100000000000016,AB-C
1.5707963267948966,0.0,21.200000000000017,0.9,21.200000000000017,0.0,21.200000000000017,AB-C
1.5707963267948966,0.0,21.30000000000002,0.9,21.30000000000002,0.0,21.30000000000002,AB-C
1.5707963267948966,0.0,21.40000000000002,0.9,21.40000000000002,0.0,21.40000000000002,AB-C
1.5707963267948966,0.0,21.50000000000002,0.9,21.50000000000002,0.0,21.50000000000002,AB-C
1.5707963267948966,0.0,21.600000000000023,0.9,21.600000000000023,0.0,21.600000000000023,AB-C
1.5707963267948966,0.0,21.700000000000024,0.9,21.700000000000024,0.0,21.700000000000024,AB-C
1.5707963267948966,0.0,21.800000000000026,0.9,21.800000000000026,0.0,21.800000000000026,AB-C
1.5707963267948966,0.0,21.900000000000027,0.9,21.900000000000027,0.0,21.900000000000027,AB-C
1.5707963267948966,0.0,22.00000000000003,0.9,22.00000000000003,0.0,22.00000000000003,AB-C
1.5707963267948966,0.0,22.10000000000003,0.9,22.10000000000003,0.0,22.10000000000003,AB-C
1.5707963267948966,0.0,22.20000000000003,0.9,22.20000000000003,0.0,22.20000000000003,AB-C
1.5707963267948966,0.0,22.300000000000033,0.9,22.300000000000033,0.0,22.300000000000033,AB-C
